DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,COLLISION
2017-01-23 18:05:00,18:05,BRONX,10462.0,40.835518,-73.86112,"(40.835518, -73.86112)",METROPOLITAN AVENUE,WOOD AVENUE,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603658,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 18:05:00,18:05,BRONX,10467.0,40.88271,-73.88125600000002,"(40.88271, -73.881256)",WEST GUN HILL ROAD,JEROME AVENUE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3604723,PASSENGER VEHICLE,,,,,1
2017-01-23 18:10:00,18:10,BROOKLYN,11212.0,40.66004,-73.91509,"(40.66004, -73.91509)",SARATOGA AVENUE,RIVERDALE AVENUE,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3607024,PASSENGER VEHICLE,,,,,1
2017-01-23 18:10:00,18:10,BROOKLYN,11232.0,40.649654,-74.01635,"(40.649654, -74.01635)",49 STREET,2 AVENUE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3602977,PASSENGER VEHICLE,,,,,1
2017-01-23 18:10:00,18:10,,,40.80417,-73.966705,"(40.80417, -73.966705)",BROADWAY,,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3603218,PASSENGER VEHICLE,,,,,1
2017-01-23 18:18:00,18:18,,,40.632786,-74.13712,"(40.632786, -74.13712)",PORT RICHMOND AVENUE,HATFIELD PLACE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3605203,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 18:20:00,18:20,BROOKLYN,11214.0,40.60548,-73.999725,"(40.60548, -73.999725)",BAY 22 STREET,86 STREET,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3602981,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 18:30:00,18:30,BROOKLYN,11207.0,40.66406,-73.89869,"(40.66406, -73.89869)",LIVONIA AVENUE,HINSDALE STREET,,1,0,2,0,0,0,0,0,,,,,,3603236,,,,,,1
2017-01-23 18:30:00,18:30,QUEENS,11428.0,40.7185,-73.73531,"(40.7185, -73.73531)",JAMAICA AVENUE,SPRINGFIELD BOULEVARD,,1,0,2,0,0,0,0,0,Unspecified,,,,,3602962,PASSENGER VEHICLE,,,,,1
2017-01-23 18:35:00,18:35,,,40.78012,-73.91153,"(40.78012, -73.91153)",21 AVENUE,,,1,0,2,0,0,0,0,0,Pavement Slippery,,,,,3603409,PASSENGER VEHICLE,,,,,1
2017-01-23 20:25:00,20:25,,,40.729847,-73.99143000000002,"(40.729847, -73.99143)",ASTOR PLACE,,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3605901,TAXI,,,,,1
2017-01-23 20:38:00,20:38,BRONX,10463.0,40.884033,-73.89797,"(40.884033, -73.89797)",WEST 238 STREET,BAILEY AVENUE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3604645,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 21:01:00,21:01,BROOKLYN,11226.0,40.651363,-73.96345,"(40.651363, -73.96345)",CATON AVENUE,EAST 18 STREET,,1,0,2,0,0,0,0,0,Unspecified,,,,,3603701,PASSENGER VEHICLE,,,,,1
2017-01-23 22:15:00,22:15,BROOKLYN,11225.0,40.663517,-73.95721400000002,"(40.663517, -73.957214)",BEDFORD AVENUE,EMPIRE BOULEVARD,,1,0,2,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3603371,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 22:20:00,22:20,MANHATTAN,10010.0,40.740917,-73.9881,"(40.740917, -73.9881)",EAST 23 STREET,MADISON AVENUE,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3605343,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 20:21:00,20:21,MANHATTAN,10128.0,40.78519,-73.94934,"(40.78519, -73.94934)",EAST 96 STREET,3 AVENUE,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3604478,PASSENGER VEHICLE,,,,,1
2017-01-23 08:15:00,8:15,BROOKLYN,11214.0,40.60968,-73.99298,"(40.60968, -73.99298)",77 STREET,20 AVENUE,,1,0,2,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3602947,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,,1
2017-01-23 08:15:00,8:15,BROOKLYN,11215.0,40.661545,-73.97941,"(40.661545, -73.97941)",,,188       PROSPECT PARK WEST,1,0,2,0,0,0,0,0,Unspecified,,,,,3603311,PICK-UP TRUCK,,,,,1
2017-01-23 18:50:00,18:50,STATEN ISLAND,10305.0,40.59075,-74.08837,"(40.59075, -74.08837)",HYLAN BOULEVARD,BURGHER AVENUE,,1,0,2,0,0,0,0,0,Turning Improperly,,,,,3603927,PASSENGER VEHICLE,,,,,1
2017-01-23 10:00:00,10:00,QUEENS,11106.0,40.765224,-73.9317,"(40.765224, -73.9317)",BROADWAY,21 STREET,,2,0,4,0,0,0,0,0,Unspecified,,,,,3603413,PASSENGER VEHICLE,,,,,1
2017-01-23 16:30:00,16:30,BROOKLYN,11212.0,40.66399000000001,-73.92988000000003,"(40.66399, -73.92988)",EAST 92 STREET,EAST NEW YORK AVENUE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3606197,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 16:30:00,16:30,MANHATTAN,10002.0,40.718292,-73.98248000000002,"(40.718292, -73.98248)",PITT STREET,RIVINGTON STREET,,1,0,2,0,0,0,0,0,Backing Unsafely,,,,,3603363,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 20:05:00,20:05,BROOKLYN,11236.0,40.647526,-73.89469,"(40.647526, -73.89469)",FLATLANDS AVENUE,EAST 105 STREET,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603296,PASSENGER VEHICLE,,,,,1
2017-01-23 18:25:00,18:25,MANHATTAN,10001.0,40.752052,-74.000984,"(40.752052, -74.000984)",10 AVENUE,WEST 30 STREET,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603487,PASSENGER VEHICLE,,,,,1
2017-01-23 18:25:00,18:25,,,40.80635,-73.93809499999998,"(40.80635, -73.938095)",PARK AVENUE,,,1,0,2,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3605580,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 18:30:00,18:30,BROOKLYN,11220.0,40.634163,-74.00735999999998,"(40.634163, -74.00736)",60 STREET,9 AVENUE,,2,0,4,0,0,0,0,0,,,,,,3603458,,,,,,1
2017-01-23 17:52:00,17:52,,,40.7274,-73.98855,"(40.7274, -73.98855)",2 AVENUE,,,2,0,2,0,0,0,2,0,Passing or Lane Usage Improper,Following Too Closely,,,,3606021,TAXI,,,,,1
2017-01-23 17:55:00,17:55,,,40.67412,-73.972534,"(40.67412, -73.972534)",8 AVENUE,,,1,0,2,0,0,0,0,0,Unspecified,,,,,3606379,PASSENGER VEHICLE,,,,,1
2017-01-23 18:30:00,18:30,QUEENS,11433.0,40.701237,-73.79465,"(40.701237, -73.79465)",BREWER BOULEVARD,LIBERTY AVENUE,,1,0,2,0,0,0,0,0,Pavement Slippery,,,,,3608007,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 15:30:00,15:30,BROOKLYN,11219.0,40.63837,-73.997665,"(40.63837, -73.997665)",49 STREET,FORT HAMILTON PARKWAY,,1,0,2,0,0,0,0,0,Unspecified,,,,,3603462,PASSENGER VEHICLE,,,,,1
2017-01-23 17:30:00,17:30,BRONX,10458.0,40.857426,-73.89111,"(40.857426, -73.89111)",3 AVENUE,EAST 187 STREET,,1,0,2,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,3603277,,,,,,1
2017-01-23 17:30:00,17:30,MANHATTAN,10004.0,40.702957,-74.01151,"(40.702957, -74.01151)",WATER STREET,BROAD STREET,,1,0,3,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603606,,,,,,1
2017-01-23 17:30:00,17:30,MANHATTAN,10030.0,40.82403,-73.94476,"(40.82403, -73.94476)",SAINT NICHOLAS AVENUE,WEST 145 STREET,,1,0,2,0,0,0,0,0,Driver Inattention/Distraction,,,,,3604191,TAXI,,,,,1
2017-01-23 17:30:00,17:30,MANHATTAN,10035.0,40.805458,-73.94001,"(40.805458, -73.94001)",,,62        EAST 125 STREET,1,0,2,0,0,0,0,0,Unspecified,,,,,3603354,TAXI,,,,,1
2017-01-23 17:44:00,17:44,,,40.685635,-73.92959599999998,"(40.685635, -73.929596)",REID AVENUE,,,1,0,2,0,0,0,0,0,Unspecified,,,,,3606319,PASSENGER VEHICLE,,,,,1
2017-01-23 18:15:00,18:15,BRONX,10452.0,40.830143,-73.92858000000003,"(40.830143, -73.92858)",JEROME AVENUE,ANDERSON AVENUE,,1,0,2,0,0,0,0,0,Unspecified,,,,,3603483,SPORT UTILITY / STATION WAGON,,,,,1
2017-01-23 18:15:00,18:15,QUEENS,11421.0,40.68766,-73.85058000000002,"(40.68766, -73.85058)",ATLANTIC AVENUE,92 STREET,,1,0,3,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3603393,PASSENGER VEHICLE,,,,,1
